HolderAddress,Balance
0x1CEA9f986e030FE8C041747cF7d143242BBd6e50,75366.114316010814402453
0x7Ab307289a5F5b7D30e192E3fCa4E68c1Fa48b10,15375.708116304258353482
0x1a1f95D3488b1e4b4634C8fE21AB4712Af1aE1f1,14134.016463729225880542
0x088f40DeC117B678EB506aCAb4Bc51588F4D128c,12930.844461584364559918
0x7565647a8553468008ceF339e94CF00F080457a7,12659.339682810240846407
0x74EB390C06a7Cc1158a0895Fb289E5037633E38B,8826.847254167271774226
0x23e836E74198b11dFE646890676C0717641aF5e0,6474.57471662606672721
0x3Dc93BB38Acf122c7591332ea8B27fd26bD88097,1733.168751139724785595
0x4e6E7EB18D684F443Ace8Ce55E3713c3DAd7C1B2,1651.765170578467167303
0xc5ffB0032a913104e3c803642BC3F8DA7D6912ae,1216.453093158659157888
0xa19233198dE16898d6129eEFB67C27F06C3b7f0F,1171.603514824901413139
0x2e8f6BeB98f6D22a9aA5B78F3eC4aBEfD800Ba19,1096.311042750260563165
0xDCB8af4BBD44EEfc4bF137ec039D384d270b51b3,1041.028309908869716139
0x2469f3F6172C6309fcb9F13D4A5c0889969De20E,995.645167524444227494
0xdE589f02cd70779Cf4A521F9aFf23314d2A818aE,923.722634207375598996
0xC29E161b6FB044B7A50C3776Ae99782f0436aba2,874.502332221984891122
0x27d39Fd1eD0b338a4126623B44654E260D67822b,829.169581220752589506
0xCc78B59303cf43F577846EC4fC2ea61a98439181,813.929119854328312464
0x680EEF0eFEAfCe8d56172Fa4d3FBe06d5967061B,794.596585834975844371
0x18C779A10b24ea0839147665E6012c371AD52adc,793.62758861416944371
0x96828475A74585E2A5b2fFA20cCC9A3C2D743eB4,771.920378082999928465
0x68AB68702de2B2388c97c0dcE662765CfFBeEc93,757.766700070783625682
0x5185420e22c6Ec20a1859b1669c80E12De86eCA1,749.255834682605727787
0x5566f89cC82172105C671548F1d77c0da131BB14,723.279371449788782544
0x38b89a6824afB32e32C70Ce2324EAcb7C469dC18,696.367448996945605919
0x1c041Dc0ea476c4d4d87e76CE1A89Dc4dEf02Fd1,607.940401916676166462
0x29A687b240237C27cf1D1cc6ad8Fe8d9bfd7c42d,576.432770051695528
0xaFA8387D7083c58b95BA99D06dB9cDCA9D8098e4,568.106768283857074653
0x758011ee947893EC75f8cF3Ee57286623d4bb9ce,546.53464851749267049
0xf604485E15C544dC7f57417F208afAE8F3701488,5.3E+2
0xAcB8aEb39Dd41027DDD8755a6bf61c74E66C4f0b,523.019476719629800134
0x3015d00743F7D3412C23F6Ed9F6C08Ab96A069ba,515.915585732091646722
0xC18Ad66E31A644A3a7d54E475f5f5b4f3F9Eba53,515.9155852416951815
0x72CA417597f02eE36eb64B42d81Ee20D6e4b11aa,515.915584959131275548
0x24A14F67Bba65E7b85880BcDcdBddE4a358C2f80,458.086156244861175799
0x88862D8e11eb7AB962d138B39B55d67eC39e1cA4,446.42972899570401185
